timestamp_ns,x,y,z,qw,qx,qy,qz
1403715278712142944,0.031969849,0.005300372,0.036174046,0.016526105,0.818588707,-0.018252806,0.573852117
1403715278812143087,0.049700891,0.009226572,0.065421276,0.015686151,0.815188324,-0.020991841,0.578602872
1403715278912142992,0.067496795,0.013453530,0.102455173,0.015855537,0.812132182,-0.022593543,0.582820258
1403715279012142896,0.083025139,0.017103839,0.137936105,0.017620483,0.808388206,-0.022154183,0.587968722
1403715279712142944,0.143943193,0.024384873,0.142679720,0.026083492,0.810314829,-0.026027566,0.584835101
1403715280112143039,0.148295705,0.019789458,0.195387241,0.029021113,0.822043369,-0.026018161,0.568089368
1403715280312143087,0.160581384,0.016738428,0.228284801,0.038322447,0.822674237,-0.014016589,0.567046757
1403715280412142992,0.172613346,0.017613344,0.245595208,0.047657137,0.819004175,-0.015240840,0.571601851
1403715280512142896,0.188331296,0.019503738,0.261884045,0.055041348,0.815517902,-0.031339186,0.575255471
1403715280612143039,0.208958641,0.016892031,0.276546499,0.088577604,0.810614636,-0.071397607,0.574421711
1403715280712142944,0.235784848,0.008994263,0.286458421,0.141618607,0.808284433,-0.121439119,0.558455895
1403715280812143087,0.256385436,0.011597481,0.296009036,0.152720338,0.805632098,-0.141397186,0.554653276
1403715280912142992,0.276453977,0.015022897,0.305645458,0.164074109,0.801925164,-0.159122343,0.551974454
1403715281012142896,0.296245240,0.020466692,0.315193737,0.170926213,0.799119947,-0.171528631,0.550244917
1403715281112143039,0.315712664,0.025875776,0.325096312,0.168584189,0.798925702,-0.175718484,0.549927366
1403715281212142944,0.335060394,0.035202945,0.334806775,0.151352586,0.799812548,-0.170256473,0.555342251
1403715281312143087,0.355545795,0.042203063,0.343343567,0.136457428,0.799454399,-0.168775405,0.560148995
1403715281412142992,0.376441203,0.047271236,0.346106815,0.137624045,0.799462603,-0.176122075,0.557584240
1403715281512142896,0.397401422,0.050390127,0.351444517,0.145194492,0.797181361,-0.188406024,0.554908648
1403715281612143039,0.417761570,0.053091946,0.352725809,0.154433032,0.793925092,-0.203411611,0.551776317
1403715281712142944,0.438784900,0.053974415,0.350364226,0.164959783,0.789203055,-0.222231334,0.548233565
1403715281812143087,0.459530580,0.053521755,0.346136757,0.177145709,0.783829356,-0.243926272,0.542891253
1403715281912142992,0.484483356,0.053285238,0.339872916,0.191813216,0.776729383,-0.266574058,0.537435975
1403715282012142896,0.508649574,0.053134786,0.332169766,0.205215449,0.769128412,-0.289332512,0.531615278
1403715282112143039,0.533855794,0.052679973,0.322372764,0.220419219,0.760900096,-0.310618491,0.525321392
1403715282212142944,0.560548179,0.052681300,0.312153338,0.234725436,0.752540323,-0.331009291,0.518671264
1403715282312143087,0.589067335,0.052661207,0.301710418,0.249004796,0.743927888,-0.351542061,0.510867975
1403715282412142992,0.617739637,0.052163444,0.291524778,0.264539019,0.735354889,-0.370646148,0.501890155
1403715282512142896,0.648481114,0.051221068,0.281228092,0.277685799,0.725218155,-0.390027746,0.494800548
1403715282612143039,0.681593223,0.049106704,0.270723858,0.290374498,0.714524777,-0.407106371,0.489286619
1403715282712142944,0.717882971,0.047481820,0.260246283,0.301658289,0.702269263,-0.424492426,0.485413574
1403715282812143087,0.755634444,0.046087425,0.247958687,0.310219057,0.690099180,-0.442762390,0.481132752
1403715282912142992,0.792859473,0.044116591,0.235299995,0.322337221,0.678068725,-0.458459871,0.475537661
1403715283012142896,0.827738184,0.041008640,0.221471103,0.332677918,0.665599927,-0.474870109,0.469894158
1403715283112143039,0.863614224,0.038304754,0.206776540,0.341517526,0.652006675,-0.491626248,0.465356538
1403715283212142944,0.899525778,0.036261008,0.192195446,0.349404966,0.637497538,-0.508371864,0.461596260
1403715283312143087,0.932606583,0.035244472,0.178706249,0.357944749,0.623981317,-0.523722358,0.456330763
1403715283412142992,0.966643399,0.034534075,0.165505279,0.366820716,0.612203054,-0.537755855,0.448852563
1403715283512142896,0.997024801,0.035161996,0.152554864,0.374057025,0.603591623,-0.551378215,0.437881899
1403715283612143039,1.024086824,0.036385141,0.141722400,0.381423641,0.597144423,-0.562856732,0.425589995
1403715283712142944,1.050350293,0.036572767,0.131631669,0.386739308,0.592481021,-0.570519240,0.417021275
1403715284112143039,1.149763032,0.023868274,0.090665220,0.389828192,0.583521631,-0.581314147,0.411837772
1403715284212142944,1.172932359,0.017700455,0.079344458,-0.383185010,-0.583705238,0.583977608,-0.414038158
1403715284312143087,1.193387043,0.009393115,0.069169462,-0.375677517,-0.582604139,0.586460433,-0.418930760
1403715284512142896,1.222294309,-0.016650044,0.054513170,0.379713204,0.587956799,-0.578091261,0.419446277
1403715284712142944,1.242110115,-0.052011175,0.042399607,0.388542699,0.595132528,-0.565238302,0.418757098
1403715284912142992,1.260051266,-0.088684280,0.033848555,0.397786617,0.588284343,-0.565595488,0.419272087
1403715285012142896,1.267694659,-0.104519137,0.031508138,-0.406036129,-0.572871426,0.573715174,-0.421667986
1403715285112143039,1.273502138,-0.117585842,0.031486112,-0.416665279,-0.555991486,0.584931085,-0.418472388
1403715285212142944,1.279024662,-0.125585217,0.033102542,-0.423240851,-0.541967784,0.600354042,-0.408305189
1403715285312143087,1.283656221,-0.129209517,0.038886758,-0.422710283,-0.530783487,0.616865840,-0.398825076
1403715285412142992,1.288582063,-0.132109262,0.056546795,-0.418348137,-0.524459935,0.630834397,-0.389839168
1403715285612143039,1.286792730,-0.136719190,0.129135256,-0.413943976,-0.516614301,0.644347274,-0.382853285
1403715285812143087,1.266741789,-0.148201453,0.206612737,-0.417444242,-0.513070877,0.646653813,-0.379917656
1403715285912142992,1.249411894,-0.156055206,0.240627175,-0.423915833,-0.516603030,0.643527381,-0.373214665
1403715286012142896,1.229403835,-0.165499679,0.272427071,-0.428744171,-0.521742470,0.640713900,-0.365306623
1403715286212142944,1.189151356,-0.191547376,0.327015824,-0.428588143,-0.522238991,0.642149889,-0.362245996
1403715286412142992,1.148503550,-0.228735275,0.373360169,-0.429927532,-0.522631172,0.641611625,-0.361045009
1403715286612143039,1.107621305,-0.276422974,0.412050384,-0.436792329,-0.521101736,0.639197356,-0.359294005
1403715286712142944,1.086053698,-0.302935985,0.431811664,-0.445323752,-0.511955921,0.640030642,-0.360483936
1403715286812143087,1.065283565,-0.329718683,0.448143582,-0.452310878,-0.502804571,0.645129103,-0.355543068
1403715286912142992,1.046503925,-0.355752937,0.460422308,-0.452263848,-0.498538449,0.653882079,-0.345478006
1403715287012142896,1.030214933,-0.383242419,0.472538479,-0.453322110,-0.495530060,0.660105840,-0.336465905
1403715287212142944,1.005143497,-0.442954021,0.498805205,-0.462913490,-0.486537512,0.662690911,-0.331410784
1403715287312143087,0.996346465,-0.475672096,0.511337882,-0.468415609,-0.481400100,0.661446305,-0.333660826
1403715287512142896,0.984726421,-0.541419854,0.538935425,-0.466040709,-0.471238898,0.666642241,-0.341069026
1403715287712142944,0.970435485,-0.598636779,0.570410420,-0.464829956,-0.446593173,0.685802138,-0.337880271
1403715287812143087,0.957632050,-0.624001524,0.588414715,-0.472166450,-0.431677891,0.694756643,-0.328673469
1403715287912142992,0.940648928,-0.646472068,0.607192341,-0.484114261,-0.414741591,0.702809619,-0.315723667
1403715288012142896,0.920789964,-0.667133578,0.625889182,-0.497185446,-0.395562678,0.711558152,-0.300036325
1403715288112143039,0.901614862,-0.682945980,0.642971948,0.507342871,0.375470698,-0.720571490,0.287056953
1403715288212142944,0.882517492,-0.698072652,0.654715704,0.513003061,0.361372410,-0.728072415,0.275949993
1403715288312143087,0.863571467,-0.711770949,0.656204295,0.516548330,0.352546074,-0.733341488,0.266644615
1403715288512142896,0.829014145,-0.731676812,0.634118685,0.518512833,0.342270506,-0.738963988,0.260629176
1403715288912142992,0.764415419,-0.731612888,0.671274735,0.519972307,0.345137158,-0.739963583,0.250924366
1403715289012142896,0.747301794,-0.728078712,0.666068350,0.521814679,0.342196258,-0.742591037,0.243248254
1403715289112143039,0.730772411,-0.722879793,0.646341352,0.523351907,0.335249359,-0.747307894,0.235035232
1403715289212142944,0.715569932,-0.718488871,0.619447320,0.526394712,0.329212861,-0.750727564,0.225689221
1403715289312143087,0.700713031,-0.715552141,0.591663361,0.528492522,0.322129746,-0.754853768,0.217080329
1403715289412142992,0.686601816,-0.713997671,0.561465809,0.531184317,0.311559333,-0.760110291,0.207379724
1403715289512142896,0.673576829,-0.714618649,0.526894285,0.532254742,0.297926200,-0.767425736,0.197490778
1403715289612143039,0.660991460,-0.718078168,0.489126946,0.533548172,0.283250284,-0.774473858,0.187845333
1403715289712142944,0.649035091,-0.724507704,0.448116354,0.532443283,0.271988269,-0.780995633,0.180478123
1403715289812143087,0.637709871,-0.735077502,0.413670182,0.533400459,0.266021631,-0.783326264,0.176398429
1403715290112143039,0.600424023,-0.789111358,0.378512891,0.533664570,0.268408537,-0.780760489,0.183226751
1403715290312143087,0.572065726,-0.840365907,0.402172336,0.526642407,0.281545268,-0.779879048,0.187533218
1403715290412142992,0.555502398,-0.872220119,0.414814430,0.519961745,0.284562310,-0.782303904,0.191480228
1403715290612143039,0.518094747,-0.945089268,0.434163022,0.520243447,0.284522001,-0.780306837,0.198784374
1403715290712142944,0.496394401,-0.985057594,0.441341732,0.523989527,0.282522248,-0.778109444,0.200404210
1403715290812143087,0.473472200,-1.026133425,0.447654958,0.529849205,0.280218542,-0.774742439,0.201274793
1403715291012142896,0.429421745,-1.109859056,0.454553098,0.531095677,0.269047849,-0.776257437,0.207304193
1403715291112143039,0.407652244,-1.150370944,0.456621034,0.530803503,0.258208591,-0.778398323,0.213710121
1403715291312143087,0.358685826,-1.218701546,0.455905358,0.532508540,0.238672928,-0.782736158,0.216319196
1403715291512142896,0.299015985,-1.267938138,0.442133469,0.532945730,0.225361046,-0.789730275,0.203733503
1403715291612143039,0.265233526,-1.285903314,0.432094288,0.530999491,0.217663567,-0.794845795,0.197185886
1403715291712142944,0.228365884,-1.297691969,0.420739379,0.529603631,0.209588616,-0.799000296,0.192850026
1403715291812143087,0.187472048,-1.306353575,0.410395106,0.531960295,0.208442652,-0.800196970,0.182358754
1403715291912142992,0.142335449,-1.313371467,0.399304462,0.536566350,0.214301139,-0.799188459,0.165738895
1403715292012142896,0.095008567,-1.320204680,0.385474798,0.537503320,0.216333435,-0.799659504,0.157590303
1403715292212142944,-0.002450615,-1.342596214,0.357529622,0.535438978,0.227202951,-0.797639054,0.159548925
1403715292312143087,-0.052933287,-1.359383046,0.343938758,0.531768139,0.242156370,-0.794220537,0.166723353
1403715292412142992,-0.104038357,-1.379525839,0.330739011,0.528367837,0.262013659,-0.788207755,0.175797629
1403715292512142896,-0.156977693,-1.405166539,0.318741543,0.523749715,0.283952049,-0.780689764,0.188629165
1403715292612143039,-0.208285167,-1.434460091,0.309662908,0.525730458,0.306752768,-0.766113830,0.206348791
1403715292712142944,-0.257041204,-1.466517494,0.304264715,0.531181430,0.331907907,-0.746609728,0.224181499
1403715292812143087,-0.302314702,-1.500892079,0.303230190,0.531779424,0.357786183,-0.728843556,0.240804408
1403715292912142992,-0.339883057,-1.535630233,0.311496917,0.521764734,0.382860454,-0.718050714,0.256091015
1403715293012142896,-0.370520509,-1.570031483,0.331192759,0.507556041,0.401498408,-0.710481031,0.276410198
1403715293112143039,-0.397649644,-1.604666954,0.360858409,-0.495671284,-0.417421246,0.701094351,-0.297550319
1403715293212142944,-0.423093078,-1.638369484,0.392471489,-0.484208620,-0.434069730,0.691677400,-0.314178066
1403715293312143087,-0.447600823,-1.670916343,0.424543191,-0.477293617,-0.449445105,0.679219327,-0.329925758
1403715293412142992,-0.471348973,-1.701817669,0.456252169,-0.473808537,-0.462669019,0.664595688,-0.346056961
1403715293512142896,-0.494339962,-1.727841800,0.487009869,-0.468042122,-0.476166031,0.652574820,-0.358257711
1403715293612143039,-0.516674598,-1.750254464,0.517588888,-0.457677144,-0.490625440,0.644668842,-0.366361017
1403715293712142944,-0.538333599,-1.769471125,0.548625526,-0.446831101,-0.505518004,0.637893988,-0.371328393
1403715293812143087,-0.560366706,-1.786900252,0.579732786,-0.437061593,-0.519728908,0.630140866,-0.376538861
1403715293912142992,-0.581729820,-1.802846546,0.609182366,-0.427059312,-0.533097103,0.621623846,-0.383420939
1403715294012142896,-0.603831696,-1.819143835,0.634986950,-0.419118450,-0.546421051,0.609992857,-0.392010809
1403715294112143039,-0.626028303,-1.833791495,0.648133392,-0.411154029,-0.558996537,0.596647980,-0.403096049
1403715294212142944,-0.648873306,-1.847836329,0.649775551,-0.404205726,-0.569531575,0.581758250,-0.416903892
1403715294312143087,-0.671757105,-1.858808288,0.637443329,0.395278141,0.580296106,-0.567559615,0.429985702
1403715294412142992,-0.695278435,-1.867067565,0.612582419,0.386076272,0.592429726,-0.552990015,0.440651990
1403715294512142896,-0.720321031,-1.873181041,0.584214650,0.377826705,0.606076952,-0.537137607,0.448777117
1403715294612143039,-0.745615492,-1.875847051,0.554863306,0.364304517,0.622987029,-0.524037080,0.452277038
1403715294712142944,-0.771177433,-1.876894941,0.526660347,0.352495506,0.642180499,-0.509145329,0.451798803
