timestamp_ns,x,y,z,qw,qx,qy,qz
1403715894534058094,-0.013193547,0.136675700,0.050982283,0.365662348,-0.560884724,0.581068594,-0.462664742
1403715894634057998,0.034351830,0.239151281,0.133887096,0.262217779,-0.490899578,0.642357893,-0.526911547
1403715894734057903,0.069087248,0.273293743,0.143951294,0.238552666,-0.466099616,0.659742568,-0.539057990
1403715894834058046,0.043281787,0.306306226,0.166922584,0.298869683,-0.510850686,0.634754199,-0.496785261
1403715894934057950,0.058741548,0.339218848,0.184787726,0.303823569,-0.510603526,0.633443510,-0.495706161
1403715895034058094,0.073768973,0.377025034,0.203938015,0.307424371,-0.511543994,0.632609722,-0.493576680
1403715895134057998,0.088500144,0.416372093,0.224046116,0.308276482,-0.512767719,0.633299253,-0.490883828
1403715895234057903,0.104760339,0.456804590,0.242903855,0.308280616,-0.513014958,0.635995552,-0.487122544
1403715895334058046,0.120986932,0.500351020,0.260206701,0.307928978,-0.513402263,0.636698666,-0.486017150
1403715895434057950,0.135948935,0.545261697,0.277266390,0.308409144,-0.514125223,0.636334059,-0.485425608
1403715895534058094,0.148241921,0.593498073,0.298822928,0.313269846,-0.514582392,0.635107298,-0.483431159
1403715895634057998,0.158873343,0.638334528,0.318892322,0.316498338,-0.514613529,0.634118703,-0.482592154
1403715895734057903,0.174430130,0.681863562,0.337087006,0.317330986,-0.514695233,0.634502512,-0.481452413
1403715895834058046,0.186869134,0.728609607,0.356150335,0.320244461,-0.515304542,0.633414894,-0.480302286
1403715895934057950,0.201005397,0.773247439,0.374451841,0.322249334,-0.515393778,0.632601038,-0.479938066
1403715896034058094,0.215512327,0.817576979,0.391305383,0.323950182,-0.514301320,0.634470674,-0.477490729
1403715896134057998,0.230030154,0.860116768,0.407031509,0.329264696,-0.511986190,0.637313857,-0.472531427
1403715896234057903,0.242491003,0.900571456,0.420986677,0.338807563,-0.505633215,0.641635622,-0.466742131
1403715896334058046,0.252217955,0.938686708,0.439498466,0.356508514,-0.496041665,0.645286319,-0.458748202
1403715896434057950,0.258475310,0.968582122,0.458620092,0.370747132,-0.488918037,0.648189818,-0.450949751
1403715896534058094,0.262322188,0.988865317,0.476342300,0.381360211,-0.483141531,0.649465497,-0.446467489
1403715896634057998,0.260358988,0.999785712,0.497870586,0.392195027,-0.479349705,0.647529265,-0.443973842
1403715896734057903,0.253005227,1.000894013,0.521198534,0.399645380,-0.478268375,0.645619294,-0.441269372
1403715896834058046,0.236488588,0.993571615,0.548418550,0.406490924,-0.482306813,0.646048262,-0.429845217
1403715896934057950,0.209882939,0.968825435,0.579281505,0.418140637,-0.484854471,0.646431119,-0.414971516
1403715897034058094,0.184471513,0.919786174,0.605914030,0.428431081,-0.481881628,0.651315340,-0.400031540
1403715897134057998,0.155365248,0.847727222,0.634530652,0.438149268,-0.482882780,0.650638543,-0.389254320
1403715897234057903,0.128238934,0.752321057,0.658159580,0.433709453,-0.487291759,0.648307436,-0.392607081
1403715897334058046,0.098049493,0.636268461,0.679509996,0.415017745,-0.502747020,0.638970364,-0.408316763
1403715897434057950,0.066636769,0.506644522,0.699847266,0.391977187,-0.519813119,0.628523858,-0.425565465
1403715897534058094,0.037815755,0.372497817,0.720524202,0.378644739,-0.528179271,0.622404281,-0.436196894
1403715897634057998,0.012961614,0.235245034,0.742549550,0.379841106,-0.527547376,0.623362590,-0.434549861
1403715897734057903,-0.009465977,0.094323277,0.764219080,0.388325023,-0.522596163,0.627214739,-0.427432565
1403715897834058046,-0.027710238,-0.051027982,0.785907147,0.397267641,-0.518040187,0.628050206,-0.423515909
1403715897934057950,-0.049957660,-0.205497057,0.806772648,0.400049852,-0.516444839,0.624550137,-0.427997629
1403715898034058094,-0.072434498,-0.363093011,0.826581906,0.399379721,-0.517045637,0.617650724,-0.437798161
1403715898134057998,-0.097190593,-0.526771979,0.846513278,0.398744414,-0.514636740,0.608241940,-0.454085520
1403715898234057903,-0.126448471,-0.690535187,0.864927191,0.394479613,-0.508766203,0.604713935,-0.468896410
1403715898334058046,-0.162753197,-0.852242520,0.878745306,0.382466493,-0.502931707,0.609784453,-0.478478841
1403715898434057950,-0.203577159,-1.012509133,0.888324117,0.366840887,-0.497160383,0.621381543,-0.481813549
1403715898534058094,-0.247453676,-1.170324208,0.894703581,0.350081373,-0.489286072,0.636897235,-0.482083068
1403715898634057998,-0.290495388,-1.328057448,0.897641045,0.334569205,-0.478710957,0.650797277,-0.485141393
1403715898734057903,-0.332779120,-1.481164619,0.892123398,0.324713915,-0.462302094,0.659927424,-0.495311459
1403715898834058046,-0.375352419,-1.628932627,0.873312254,0.313312080,-0.450205137,0.669487755,-0.500936144
1403715898934057950,-0.416152015,-1.772872904,0.843174016,0.304506808,-0.441323350,0.677299427,-0.503760648
