timestamp_ns,x,y,z,qw,qx,qy,qz
1403715894434057950,-0.019579985,0.056410215,0.070872240,0.055959864,0.805879454,-0.009830842,0.589347226
1403715894634057998,0.025426104,0.182653728,0.168367894,0.204468932,0.797926847,-0.130836347,0.551712836
1403715894734057903,0.010622533,0.207518536,0.182037286,0.131063231,0.815519206,-0.082591792,0.557610483
1403715894834058046,0.023685376,0.239984396,0.196306458,0.122991927,0.815239181,-0.085001515,0.559493348
1403715894934057950,0.038758305,0.277080411,0.213517179,0.118527863,0.813512389,-0.083741296,0.563148412
1403715895034058094,0.054388368,0.316044652,0.233445371,0.115010267,0.812933629,-0.083182221,0.564794008
1403715895134057998,0.071649675,0.356536647,0.253459259,0.114006341,0.814340979,-0.083817794,0.562872901
1403715895234057903,0.088760457,0.400380154,0.272163589,0.111543412,0.815360260,-0.085607642,0.561620019
1403715895334058046,0.104492071,0.444540372,0.290730236,0.109946627,0.815815124,-0.085289615,0.561322638
1403715895434057950,0.118137235,0.491826319,0.311607818,0.105830535,0.814416436,-0.083526318,0.564401560
1403715895534058094,0.129135604,0.536568898,0.330894519,0.102462341,0.814004136,-0.082914917,0.565706506
1403715895634057998,0.143462820,0.580274480,0.349162293,0.101482437,0.814050380,-0.082871433,0.565822958
1403715895734057903,0.156352715,0.626558115,0.368619906,0.098348657,0.813976590,-0.081923058,0.566620036
1403715895834058046,0.170027996,0.671411953,0.386338905,0.096913167,0.813682062,-0.081596795,0.567337028
1403715895934057950,0.184769598,0.715427330,0.403110588,0.096547060,0.813692011,-0.081654189,0.567376921
1403715896034058094,0.198126730,0.758427911,0.418843542,0.092990493,0.813808195,-0.083335941,0.567559786
1403715896134057998,0.210800969,0.800221110,0.433064826,0.086315278,0.814144944,-0.087393619,0.567520959
1403715896234057903,0.221878170,0.841882173,0.447907956,0.073159742,0.812322303,-0.093395813,0.571014317
1403715896334058046,0.231463387,0.879127442,0.463944123,0.054707142,0.807944496,-0.102511383,0.577688702
1403715896434057950,0.239343640,0.909409412,0.480025231,0.040385514,0.804782326,-0.110179893,0.581854630
1403715896534058094,0.242720342,0.932383129,0.498306277,0.027628330,0.801650287,-0.113674396,0.586235127
1403715896634057998,0.242055711,0.945813036,0.519768036,0.018156803,0.797545790,-0.114831376,0.591949996
1403715896734057903,0.232927536,0.950468198,0.546057475,0.007151707,0.795229681,-0.111615741,0.595903124
1403715896834058046,0.213453084,0.939068226,0.573261158,-0.008365049,0.797348252,-0.107340640,0.593838175
1403715896934057950,0.193241196,0.906069151,0.596643002,-0.021387252,0.799692105,-0.109637157,0.589927807
1403715897134057998,0.143274707,0.781215291,0.645221105,-0.050662090,0.800962575,-0.116077269,0.585165253
1403715897234057903,0.115099809,0.685561695,0.669888171,-0.045101780,0.802766938,-0.111382689,0.584059046
1403715897334058046,0.084785887,0.569563576,0.693949448,-0.020197663,0.807570716,-0.094470579,0.581804867
1403715897434057950,0.054903862,0.441671409,0.718224550,0.009375011,0.812814003,-0.075931182,0.577477239
1403715897534058094,0.027517886,0.306646745,0.742540172,0.024622816,0.814694965,-0.064683183,0.575744663
1403715897634057998,0.003870069,0.167673127,0.764538140,0.021838561,0.815119435,-0.065489599,0.575164755
1403715897734057903,-0.016055638,0.026651722,0.784408485,0.010560749,0.813764271,-0.070981837,0.576747571
1403715897834058046,-0.038595359,-0.120751464,0.804576620,0.002630675,0.811297418,-0.076123040,0.579650638
1403715897934057950,-0.061305609,-0.271816069,0.824856978,0.004661384,0.807353746,-0.074654823,0.585307490
1403715898034058094,-0.084210651,-0.430401108,0.845759171,0.012309119,0.803049419,-0.069233591,0.591748955
1403715898134057998,-0.110711410,-0.591590549,0.866572633,0.024708716,0.794886870,-0.064388343,0.602825418
1403715898234057903,-0.142330228,-0.753214783,0.886179011,0.038621668,0.788638794,-0.066351634,0.610044818
1403715898334058046,-0.178616028,-0.915398097,0.901858612,0.052940148,0.788061505,-0.073319587,0.608917600
1403715898434057950,-0.221436714,-1.076122557,0.912346724,0.066143988,0.792009442,-0.085818341,0.600817134
1403715898534058094,-0.266616827,-1.235954995,0.918807847,0.078055227,0.797248791,-0.102500737,0.589741761
1403715898634057998,-0.312082356,-1.391188480,0.921483369,0.091502856,0.799861406,-0.120178384,0.580866693
1403715898734057903,-0.356827370,-1.541700648,0.916052127,0.105749314,0.794937782,-0.138339326,0.581165412
1403715898834058046,-0.401025419,-1.688373418,0.897627068,0.117844134,0.793245060,-0.153646250,0.577293569
1403715898934057950,-0.423460414,-1.853504780,0.872086902,0.121645270,0.792141687,-0.162040022,0.575723030
1403715899034058094,-0.457755413,-1.998441706,0.832069325,0.127241098,0.790847136,-0.169201438,0.574231125
1403715899134057998,-0.487789394,-2.139141644,0.782967149,0.128839446,0.794113008,-0.174618100,0.567708946
1403715899234057903,-0.515535001,-2.275108379,0.736589002,0.133640937,0.801941058,-0.175588565,0.555157001
1403715899334058046,-0.536326013,-2.408586384,0.700153871,0.137463626,0.811090861,-0.173660065,0.541366371
1403715899434057950,-0.548851181,-2.536099743,0.677403732,0.143083472,0.818320287,-0.168688789,0.530493280
1403715899534058094,-0.550198008,-2.657152083,0.669698956,0.143015772,0.819625151,-0.166873159,0.529069419
1403715899634057998,-0.539228232,-2.779082696,0.663222733,0.139086611,0.819675673,-0.166680493,0.530098406
1403715899734057903,-0.520071868,-2.901747725,0.656840758,0.139992587,0.819042230,-0.163357274,0.531870569
1403715899834058046,-0.489860484,-3.022180467,0.652587287,0.147419956,0.815440533,-0.155383023,0.537754786
1403715899934057950,-0.448397982,-3.138190088,0.650410141,0.158812147,0.811096153,-0.143645831,0.544304702
1403715900034058094,-0.397286480,-3.244010473,0.648101171,0.169509482,0.808554953,-0.133036673,0.547546041
1403715900134057998,-0.336351790,-3.338205217,0.644443183,0.174552287,0.807606147,-0.126718499,0.548859028
1403715900234057903,-0.267559738,-3.417842077,0.641939285,0.178386498,0.806923332,-0.121689857,0.549767744
1403715900334058046,-0.190613867,-3.482527500,0.640326724,0.179809881,0.807398668,-0.119340744,0.549120737
1403715900434057950,-0.105538420,-3.532636197,0.640680430,0.178294099,0.808079237,-0.119946099,0.548481627
1403715900534058094,-0.012512445,-3.568958797,0.642489929,0.159299078,0.804311163,-0.132905870,0.556815398
1403715900634057998,0.085616024,-3.595959860,0.648056072,0.143507895,0.794628822,-0.143345350,0.572208554
1403715900734057903,0.184373487,-3.616663700,0.655071945,0.127975247,0.780547239,-0.153645491,0.592251135
1403715900834058046,0.279197922,-3.633913762,0.662772431,0.128570177,0.765878555,-0.152645445,0.611227549
1403715900934057950,0.363735062,-3.645279186,0.672178625,0.135196033,0.756345063,-0.148704120,0.622536154
1403715901034058094,0.437454115,-3.648227778,0.682299577,0.138981015,0.747559575,-0.145480066,0.632988554
1403715901134057998,0.497420188,-3.641108764,0.694580547,0.141204177,0.739574100,-0.143042059,0.642363216
1403715901234057903,0.544569192,-3.626911867,0.708609155,0.140800662,0.733332281,-0.142323049,0.649725395
1403715901334058046,0.570493183,-3.602022544,0.725153548,0.137885580,0.732752296,-0.145415442,0.650319913
1403715901434057950,0.578406953,-3.566043241,0.738528698,0.130873104,0.743014465,-0.151590523,0.638609465
1403715901534058094,0.566691028,-3.523443558,0.749214697,0.127362798,0.756861725,-0.156101799,0.621748563
1403715901634057998,0.547962783,-3.476578881,0.763348194,0.130157087,0.763371358,-0.156359849,0.613086373
1403715901734057903,0.518127589,-3.425650706,0.776470306,0.129856096,0.768368843,-0.157634430,0.606546043
1403715901834058046,0.481782024,-3.370721908,0.787213846,0.128552103,0.776666506,-0.158954894,0.595816110
1403715901934057950,0.439216621,-3.312892869,0.799012699,0.127649557,0.782153716,-0.159258685,0.588708608
1403715902034058094,0.391709514,-3.252949391,0.809128552,0.125978211,0.783701289,-0.159228925,0.587016124
1403715902134057998,0.339716019,-3.191576348,0.817879315,0.128856485,0.783012896,-0.155744241,0.588243608
1403715902234057903,0.286018715,-3.127405748,0.823946925,0.134973397,0.785130874,-0.149773585,0.585593345
1403715902334058046,0.230543177,-3.059388417,0.827855590,0.138825822,0.791023409,-0.145970619,0.577669400
1403715902434057950,0.173821788,-2.986511076,0.832601797,0.139581533,0.795818983,-0.144503834,0.571233563
1403715902534058094,0.117958193,-2.906487978,0.838339360,0.129368953,0.799855806,-0.151160931,0.566255011
1403715902634057998,0.063615800,-2.825286352,0.844761998,0.117335823,0.804385329,-0.154967466,0.561410394
1403715902734057903,0.010493410,-2.742364898,0.848921138,0.104371959,0.810962362,-0.151904604,0.555312104
1403715902834058046,-0.035405318,-2.661658990,0.843007078,0.091774371,0.818796551,-0.141623443,0.548718939
1403715902934057950,-0.073723785,-2.583746853,0.826906030,0.080771252,0.826110749,-0.125913657,0.543288860
1403715903034058094,-0.104161906,-2.508623239,0.811110474,0.073363421,0.829634437,-0.103983043,0.543610187
