timestamp_ns,x,y,z,qw,qx,qy,qz
1413394888805760383,0.237715836,0.235097180,0.449013918,-0.011170579,0.811567401,0.008368200,0.584092069
1413394888905760526,0.278279609,0.264819663,0.459348783,-0.018809689,0.802623784,0.005870177,0.596160043
1413394889005760431,0.318376409,0.287139518,0.474312281,-0.019882300,0.794133911,-0.000133022,0.607417490
1413394889105760574,0.361305061,0.308613168,0.493172090,-0.022087186,0.788141529,-0.003448326,0.615087957
1413394889205760478,0.407618496,0.324331205,0.509904774,-0.012284084,0.783040619,-0.003497122,0.621839417
1413394889305760383,0.452092114,0.335012559,0.532881310,-0.002608980,0.763965176,-0.004044515,0.645239525
1413394889405760526,0.491221744,0.342881664,0.553376261,0.008367302,0.736083861,-0.004714740,0.676822214
1413394889505760431,0.504712130,0.351458241,0.571497728,0.016004379,0.719313369,-0.002429588,0.694497109
1413394889605760574,0.493988970,0.358473178,0.580667286,0.027155377,0.747299929,-0.005168250,0.663911659
1413394889705760478,0.464495921,0.370385519,0.592895380,0.034631013,0.793076050,-0.011293041,0.608032514
1413394889805760383,0.425972380,0.386354941,0.609133706,0.038104113,0.834546706,-0.017756472,0.549331030
1413394889905760526,0.390838961,0.403137414,0.628854007,0.035892871,0.863209919,-0.023014787,0.503041408
1413394890005760431,0.367905778,0.417964381,0.644319593,0.031120918,0.880960779,-0.025330393,0.471484852
1413394890105760574,0.365861834,0.429263626,0.649723858,0.024873496,0.890901710,-0.027707896,0.452667344
1413394890205760478,0.392160104,0.437739384,0.652606048,0.019662199,0.879691271,-0.031671267,0.474081845
1413394890305760383,0.444637459,0.442915363,0.651613199,0.014528898,0.851510018,-0.043786494,0.522304837
1413394890405760526,0.518805880,0.439596470,0.645118054,0.031544030,0.812262703,-0.081073179,0.576768077
1413394890505760431,0.588078905,0.420229005,0.633800395,0.047987959,0.774995963,-0.094652933,0.622992163
1413394890605760574,0.639403506,0.389505182,0.615787675,0.074651480,0.741503353,-0.100773465,0.659124148
1413394890705760478,0.666423017,0.357346784,0.601547763,0.096602536,0.724870000,-0.093597986,0.675626265
1413394890805760383,0.665426719,0.329574023,0.586259814,0.112560426,0.734782157,-0.088365537,0.663036095
1413394890905760526,0.639450513,0.308698726,0.567768215,0.114160543,0.771596874,-0.093017575,0.618832259
1413394891005760431,0.602001395,0.293765503,0.551251962,0.113204621,0.814206133,-0.099083561,0.560745517
1413394891105760574,0.567611904,0.280549779,0.538609559,0.109664834,0.845656543,-0.103774328,0.511927265
1413394891205760478,0.547807482,0.261860437,0.531119122,0.108101933,0.863524315,-0.109440786,0.480273300
1413394891305760383,0.550454460,0.237920661,0.525533204,0.110004443,0.871232992,-0.112040107,0.465079682
1413394891405760526,0.579757872,0.207499253,0.526104970,0.119141244,0.865165655,-0.109747381,0.474604325
1413394891505760431,0.632581480,0.170926471,0.532003799,0.125951212,0.847640143,-0.104921695,0.504612642
1413394891605760574,0.702950489,0.133954958,0.539452057,0.131537890,0.829119211,-0.096156018,0.534801962
1413394891705760478,0.769735701,0.083840553,0.550653029,0.147586017,0.817011244,-0.102845281,0.547844725
1413394891805760383,0.856181720,0.057552557,0.555891151,0.149304722,0.810560469,-0.099984279,0.557407364
1413394891905760526,0.940467839,0.029366228,0.577324546,0.154841207,0.797572928,-0.094074478,0.575370853
1413394892005760431,1.024526268,0.009574410,0.610275762,0.157887687,0.781027143,-0.086911311,0.597925166
1413394892105760574,1.101130924,0.001141245,0.645183099,0.154408288,0.770086091,-0.077215118,0.614136238
1413394892205760478,1.169177372,0.007665053,0.677959472,0.141233962,0.768793671,-0.060711417,0.620744217
1413394892305760383,1.224533374,0.030497798,0.705949444,0.116678991,0.771051680,-0.038684064,0.624795057
1413394892405760526,1.266859202,0.063944809,0.718944675,0.087102578,0.774478078,-0.012228261,0.626456157
1413394892505760431,1.298297235,0.102174181,0.717104103,0.053940904,0.777345535,0.017504242,0.626512489
1413394892605760574,1.313720700,0.146927202,0.710520273,0.018091595,0.783966531,0.050362757,0.618492332
1413394892705760478,1.318637272,0.190318972,0.709790822,-0.013382370,0.792073944,0.082272761,0.604707345
1413394892805760383,1.318606622,0.234874495,0.715054984,-0.041580834,0.798649048,0.114961337,0.589249203
1413394892905760526,1.309605624,0.283689495,0.724105284,-0.072595770,0.800945823,0.152024311,0.574546996
1413394893005760431,1.294500069,0.333629365,0.734288587,-0.099684812,0.803658887,0.189966810,0.555074718
