timestamp_ns,x,y,z,qw,qx,qy,qz
1403715278612143039,0.015087632,0.002589067,0.014576597,0.015977734,0.818894828,-0.016692167,0.573478286
1403715278712142944,0.028888504,0.004855234,0.032391112,0.016579343,0.819288191,-0.018660661,0.572838342
1403715278812143087,0.046519240,0.008458495,0.061113829,0.017250814,0.819294830,-0.022295246,0.572679067
1403715278912142992,0.065382392,0.011774925,0.097131100,0.019674910,0.819707339,-0.025264808,0.571886760
1403715279012142896,0.081993793,0.014639746,0.129311749,0.025291546,0.819022397,-0.027138274,0.572561058
1403715280112143039,0.136703716,0.021970373,0.188888880,0.005764299,0.821147548,-0.011838097,0.570564051
1403715280312143087,0.150087572,0.019058169,0.222371006,0.012286856,0.822427612,0.002206893,0.568732790
1403715280412142992,0.162408944,0.020275446,0.241040273,0.017068184,0.819009192,0.003786567,0.573513977
1403715280512142896,0.178166005,0.024087319,0.258285705,0.015253250,0.816762873,-0.005835976,0.576742307
1403715280612143039,0.196479886,0.029429868,0.274388379,0.017003694,0.814756407,-0.023095848,0.579093648
1403715280712142944,0.215976718,0.035102664,0.288838272,0.023121562,0.813334656,-0.041414242,0.579859458
1403715280812143087,0.237210969,0.045252266,0.300067782,0.017209424,0.816243894,-0.050355808,0.575251279
1403715280912142992,0.260518267,0.058939021,0.308026532,0.007509227,0.823426464,-0.054532657,0.564746544
1403715281012142896,0.281436832,0.064328229,0.317226776,0.028769794,0.823947564,-0.078498166,0.560464761
1403715281112143039,0.299822037,0.070435444,0.329526639,0.047947913,0.818762612,-0.096865400,0.563866897
1403715281212142944,0.319293964,0.075884596,0.339601320,0.068815756,0.814108416,-0.114507195,0.565137134
1403715281312143087,0.339097389,0.080876052,0.348102955,0.080131646,0.811120189,-0.128523487,0.564928908
1403715281412142992,0.359033476,0.085795520,0.351841282,0.091563255,0.809674874,-0.142770342,0.561835739
1403715281512142896,0.380180179,0.088466445,0.355852095,0.105166260,0.806811121,-0.159178392,0.559158397
1403715281612143039,0.400632429,0.090952475,0.356700019,0.120735856,0.803058789,-0.178572929,0.555545807
1403715281712142944,0.421916937,0.092761718,0.354430382,0.137218457,0.797880148,-0.201390875,0.551362023
1403715281812143087,0.443829627,0.093920825,0.351146091,0.153090176,0.792223418,-0.225598858,0.545940116
